127.0.0.1 - - [12/Apr/2022:17:52:13 +0200] "GET /wp-includes/js/shortcode.min.js?ver=5.9.3 HTTP/1.0" 200 2650
127.0.0.1 - - [12/Apr/2022:17:52:13 +0200] "GET /wp-admin/js/updates.min.js?ver=5.9.3 HTTP/1.0" 200 41173
127.0.0.1 - - [12/Apr/2022:17:52:13 +0200] "GET /wp-admin/js/svg-painter.js?ver=5.9.3 HTTP/1.0" 200 5522
127.0.0.1 - - [12/Apr/2022:17:52:13 +0200] "GET /wp-includes/js/wplink.min.js?ver=5.9.3 HTTP/1.0" 200 11270
127.0.0.1 - - [12/Apr/2022:17:52:13 +0200] "GET /wp-includes/js/wp-auth-check.min.js?ver=5.9.3 HTTP/1.0" 200 1658
127.0.0.1 - - [12/Apr/2022:17:52:13 +0200] "GET /wp-includes/js/jquery/ui/menu.min.js?ver=1.13.1 HTTP/1.0" 200 10116
127.0.0.1 - - [12/Apr/2022:17:52:13 +0200] "GET /wp-includes/js/heartbeat.min.js?ver=5.9.3 HTTP/1.0" 200 5877
127.0.0.1 - - [12/Apr/2022:17:52:13 +0200] "GET /wp-includes/js/jquery/ui/autocomplete.min.js?ver=1.13.1 HTTP/1.0" 200 8527
127.0.0.1 - - [12/Apr/2022:17:52:13 +0200] "GET /wp-includes/js/wp-emoji-release.min.js?ver=5.9.3 HTTP/1.0" 200 18181
127.0.0.1 - - [12/Apr/2022:17:52:13 +0200] "GET /wp-includes/js/wp-emoji-release.min.js?ver=5.9.3 HTTP/1.0" 200 18181
127.0.0.1 - - [12/Apr/2022:17:52:13 +0200] "GET /wp-admin/images/about-header-about.svg HTTP/1.0" 200 5024
127.0.0.1 - - [12/Apr/2022:17:52:13 +0200] "GET /wp-admin/images/about-texture.png HTTP/1.0" 200 146755
127.0.0.1 - - [12/Apr/2022:17:52:13 +0200] "POST /wp-cron.php?doing_wp_cron=1649778733.9273910522460937500000 HTTP/1.0" 200 -
127.0.0.1 - - [12/Apr/2022:17:52:13 +0200] "GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=1&_ajax_nonce=0bae389560&1649778733726 HTTP/1.0" 200 1114
127.0.0.1 - - [12/Apr/2022:17:52:14 +0200] "GET /wp-includes/js/thickbox/loadingAnimation.gif HTTP/1.0" 200 15238
127.0.0.1 - - [12/Apr/2022:17:52:14 +0200] "GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=2&_ajax_nonce=0bae389560&1649778734547 HTTP/1.0" 200 572
127.0.0.1 - - [12/Apr/2022:17:52:14 +0200] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 817
127.0.0.1 - - [12/Apr/2022:17:52:15 +0200] "GET /wp-admin/images/spinner.gif HTTP/1.0" 200 3656
127.0.0.1 - - [12/Apr/2022:17:52:15 +0200] "GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=yes&_ajax_nonce=0bae389560&1649778735426 HTTP/1.0" 200 1
127.0.0.1 - - [12/Apr/2022:17:52:16 +0200] "GET /favicon.ico HTTP/1.0" 302 -
127.0.0.1 - - [12/Apr/2022:17:52:16 +0200] "GET /wp-includes/images/w-logo-blue-white-bg.png HTTP/1.0" 200 4119
127.0.0.1 - - [12/Apr/2022:17:52:14 +0200] "GET /wp-admin/admin-ajax.php?action=dashboard-widgets&widget=dashboard_primary&pagenow=dashboard HTTP/1.0" 200 874
